Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/AmurdAmzer/AdamsBrain	AmurdAmzer	AmurdAmzer	TypeScript
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/adamjamo/adams-brainfood-proj	adamjamo	adamjamo	JavaScript
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/Cliffypal/Brain-Stroke-For-Mr.-Adams-Awodey	Cliffypal	Cliffypal	HTML
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/bothlab/galdur	bothlab	ximion	
Alzheimer's Disease Neuroimaging Initiative Grand Opportunities	ADNI-GO	Alzheimer's Disease; Early Mild Cognitive Impairment; Normal Controls	https://github.com/himanshub1007/Alzhimers-Disease-Prediction-Using-Deep-learning	himanshub1007	himanshub1007	Python
Alzheimer's Disease Neuroimaging Initiative Phase 1	ADNI-1	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/FahimFBA/organize-ADNI	FahimFBA	FahimFBA	HTML
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/myousefnezhad/adni202	myousefnezhad	myousefnezhad	
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/atri-biostats/ADNIMERGE2	atri-biostats	KedirHussen-atri; mcdonohue	R
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/CarlosTheran/REU-ADNIC-2021	CarlosTheran	CarlosTheran	
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/BorgwardtLab/ADNI_3DCNNvsTDA	BorgwardtLab	sbrueningk	Python
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/yingjiegaryzhou/ADNI3_TauPET_TDA	yingjiegaryzhou	yingjiegaryzhou	R
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/H-Snoussi/ADNI3-Blueprints	H-Snoussi	H-Snoussi	Shell
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/bmcastrow/AmyloidbetaA4-pIC50-prediction	bmcastrow	bmcastrow	Jupyter Notebook
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/AAA-lab-genetic/Multiancestry_LRRK2_p.A419V	AAA-lab-genetic	LimKaiShi	Jupyter Notebook
