Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/AmurdAmzer/AdamsBrain	AmurdAmzer	AmurdAmzer	TypeScript	"NO - Despite the name containing ""Brain,"" this repository appears to be an educational tutoring system for West African high school examinations (WASSCE) and has no direct connection to biomedical research or neuroscience."	This repository contains code for an AI-powered tutoring platform specifically designed to help students in West Africa prepare for their WASSCE (West African Senior School Certificate Examination) exams. The project is structured as a full-stack application with a Next.js frontend and Express.js backend, with plans for a mobile version using React Native. The development is planned across four weeks, focusing on basic setup, authentication, AI integration, and testing. The platform appears to be in early development stages, with only the initial project setup completed according to the development status checklist.	Not specified in the available repository information. The repository does not explicitly mention data formats, storage methods, or data structures being used.	- Next.js (Frontend framework) - Express.js (Backend API framework) - React Native (Planned for mobile development) - AI integration (Mentioned but specific tools not specified) - Authentication system (Planned but specific implementation not specified) The repository appears to be following a modern web development stack but lacks detailed information about specific packages, dependencies, or AI frameworks to be used.
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/adamjamo/adams-brainfood-proj	adamjamo	adamjamo	JavaScript	"NO - Despite the name ""BRAINFOOD,"" this is not a biomedical repository. It appears to be a general news application platform with article sharing and commenting functionality, without specific focus on medical or scientific content."	This repository contains a web-based news application called BRAINFOOD that allows users to interact with articles through various features. The application enables users to view and post articles, categorize them by topics, and engage with content through voting mechanisms (up/down votes). Users can also participate in discussions by leaving comments, with the ability to delete their own comments. The application includes user authentication, with a default user (@jessjelly) hard-coded into the system. The project is set up as a web application that runs locally on port 3000 and has been deployed to Netlify for public access.	- User data (usernames, authentication details) - Article content - Comments - Vote counts - Topic categories Specific data formats are not specified in the repository information.	- Node.js/npm (package management) - React (implied by npm start and localhost:3000 setup) - Netlify (deployment platform) - Development server (localhost:3000) - Dependency management through npm Additional specific packages and frameworks are not detailed in the provided information.
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/Cliffypal/Brain-Stroke-For-Mr.-Adams-Awodey	Cliffypal	Cliffypal	HTML	"YES - The repository name includes ""Brain-Stroke"" which indicates it is related to cerebrovascular disease, a major topic in neurology and medical research."	Not specified - The repository appears to contain only a title without visible code or documentation describing its functionality or purpose.	Not specified - No data types, formats, or sources are visible in the repository content.	Not specified - No specific tools, packages, frameworks, or technologies are mentioned in the visible repository content. Note: This analysis is based on very limited information from the repository. A more complete analysis would require additional repository content such as code files, documentation, or data descriptions.
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/bothlab/galdur	bothlab	ximion		YES - This repository is directly related to neuroscience research, specifically for detecting and disrupting Sharp-Wave-Ripple events in brain signals using specialized hardware interfaces.	The GALDUR repository contains hardware description files for a specialized Raspberry Pi hat board designed for neuroscience research applications. The board serves as an interface between a Raspberry Pi and Intan Technologies RHD2000 USB Interface Board for high-speed detection of neural events. The system's primary purpose is to detect Sharp-Wave-Ripple events in brain signals with low latency and provide capability for event disruption. The board features dual 16-bit ADCs, a 16-bit DAC, UART connectivity, and a realtime clock. It works in conjunction with companion software packages (LaBrStim and Syntalos) to implement various pattern detection algorithms for neurological signals.	- Analog signals from brain recordings (via ADC inputs) - Digital output signals (via DAC) - Serial communication data (via UART) - Time/date data (via realtime clock) - Hardware description files (format not specified) - Neural event detection patterns (specifically Sharp-Wave-Ripple events)	- Raspberry Pi 3/4+ platform - GALDUR custom hardware board - Intan Technologies RHD2000 USB Interface Board - LaBrStim software package - Syntalos software platform - Hardware components: - 16-bit ADCs (2x) - 16-bit DAC - UART interface - Realtime clock module
Alzheimer's Disease Neuroimaging Initiative Grand Opportunities	ADNI-GO	Alzheimer's Disease; Early Mild Cognitive Impairment; Normal Controls	https://github.com/himanshub1007/Alzhimers-Disease-Prediction-Using-Deep-learning	himanshub1007	himanshub1007	Python	YES - This repository is directly focused on medical applications, specifically using deep learning for Alzheimer's Disease prediction through brain MRI analysis. It has clear neuroscience and healthcare applications.	This repository implements a deep learning system for predicting Alzheimer's Disease using brain MRI images. The project explores different transfer learning approaches, primarily comparing two methods: a pretrained 2D AlexNet (achieving 86% accuracy) and a 3D CNN with autoencoder (achieving 77% accuracy). The system processes brain MRI scans through several preprocessing steps including skull-stripping and normalization, then applies neural network architectures for classification. The implementation includes both 2D and 3D approaches to analyze brain structure images, with specific focus on transfer learning techniques to overcome limited dataset sizes. The code's primary purpose is to distinguish between AD cases and normal controls using structural brain imaging data.	- Brain MRI scans from ADNI (Alzheimer's Disease Neuroimaging Initiative) - Total dataset: 686 MRI scans (310 AD cases, 376 normal controls) - Preprocessed 3D image files (121x145x121 dimensions) - Segmented images including: - Whole brain (grey and white matter) - Grey matter only - Data split into training (n=519), validation (n=100), and testing (n=67) sets	- PyTorch: Neural network implementation - Nibabel: MRI image processing - Statistical Parametric Mapping (SPM) software, version 12: Image preprocessing - Deep Learning Architectures: - AlexNet (2D implementation) - 3D Convolutional Neural Network - 3D Autoencoder - Image processing tools for skull-stripping, segmentation, and normalization
Alzheimer's Disease Neuroimaging Initiative Phase 1	ADNI-1	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/FahimFBA/organize-ADNI	FahimFBA	FahimFBA	HTML	YES - This repository is directly related to neuroscience and medical research, specifically focusing on organizing neuroimaging data from the Alzheimer's Disease Neuroimaging Initiative (ADNI), which is a major clinical research dataset used in Alzheimer's disease research.	This repository provides a set of Python scripts designed to organize and standardize ADNI neuroimaging data. The code performs three main functions: 1) organizing ADNI dataset files into categories based on diagnostic groups (AD: Alzheimer's Disease, MCI: Mild Cognitive Impairment, and CN: Cognitively Normal), 2) streamlining the directory structure by removing unnecessary subdirectories, and 3) standardizing file naming conventions for .nii (neuroimaging) files. The tools are particularly valuable for researchers working with ADNI data as they automate the process of organizing large neuroimaging datasets into a more manageable and standardized format. The repository includes error handling, cross-platform compatibility (Windows, Linux, macOS), and maintains data integrity while restructuring the files.	- Neuroimaging data files (.nii format) - CSV files containing subject information and classifications - Three categories of clinical data (AD, MCI, CN) - ADNI1 Screening 1.5T dataset (mentioned as test dataset with 1075 subjects) - Compressed versions of neuroimaging data (.gzip format as optional) - Subject ID information embedded in file names - Structural organization metadata (directory structures)	- Python 3.9 or later - File system manipulation tools (built into Python) - Gzip compression utility (optional) - Version control (Git) - Command-line interface - Cross-platform compatibility tools - Documentation tools (Markdown) - Package management (mentioned Chocolatey for Windows users)
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/myousefnezhad/adni202	myousefnezhad	myousefnezhad		YES - This repository is directly related to neuroscience and medical research, specifically focusing on Alzheimer's Disease neuroimaging data (ADNI) for 202 subjects, which is a significant biomedical research dataset used in Alzheimer's research.	The repository appears to be associated with a research paper on clustering ensemble methods applied to ADNI (Alzheimer's Disease Neuroimaging Initiative) data. The work is connected to a published IEEE paper that presents WoCE (Wisdom of Crowds Ensemble), a framework for clustering ensemble analysis. However, the actual code implementation details are not clearly visible in the repository information provided. The repository seems to serve as a data resource or reference point for the associated research paper rather than providing extensive code implementations.	- Neural images (ADNI - Alzheimer's Disease Neuroimaging Initiative data) - Data from 202 subjects - Specific image formats and detailed data structures are not specified in the provided repository information	Not specified - The repository information does not explicitly list any specific tools, packages, or frameworks. While the associated research paper likely uses various analytical tools, these are not detailed in the visible repository information.
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/atri-biostats/ADNIMERGE2	atri-biostats	KedirHussen-atri; mcdonohue	R	YES - This repository is directly related to biomedical research, specifically focusing on Alzheimer's Disease research through the Alzheimer's Disease Neuroimaging Initiative (ADNI) study, which is a major clinical research project in neuroscience.	This repository contains an R data package called ADNIMERGE2 that provides access to datasets from the Alzheimer's Disease Neuroimaging Initiative (ADNI) study. The package serves as a data distribution tool for researchers working with ADNI data. It requires formal access approval through the Laboratory of Neuro Imaging (LONI) website and acceptance of a Data Use Agreement, indicating its use in formal research settings. The package is version-controlled with a specific versioning system where the first two digits represent code versions and the last digit represents data release numbers. Its primary purpose is to make ADNI study data accessible in a format compatible with R statistical analysis software.	- Source: ADNI study datasets from adni.loni.usc.edu - Format: R data package (.tar.gz) - Specific data types and modalities are not explicitly mentioned in the provided repository information, but given it's ADNI data, it likely includes neuroimaging, clinical, and cognitive assessment data	- R programming language - R package framework - Version control (implied by versioning system mentioned) - Package distribution through .tar.gz format - LONI platform for data sharing and access management
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/CarlosTheran/REU-ADNIC-2021	CarlosTheran	CarlosTheran		YES - This repository is directly related to medical research, specifically focusing on Alzheimer's disease classification using machine learning. Alzheimer's disease is a critical neurodegenerative condition in medical research.	The repository contains a machine learning application designed to classify different stages of Alzheimer's disease. The project appears to be part of a Research Experience for Undergraduates (REU) program focused on ADNIC (likely Alzheimer's Disease Neuroimaging Initiative) in 2021. The application uses machine learning algorithms to differentiate between various stages of Alzheimer's disease progression, which is crucial for early diagnosis and treatment planning. However, without access to more detailed repository contents, specific implementation details about the classification methods and algorithms used cannot be determined.	Not specified - While the repository likely deals with neuroimaging data given its focus on Alzheimer's classification, the specific data types, formats, and sources are not explicitly mentioned in the available repository information.	Not specified - While machine learning is mentioned as the primary approach, the specific tools, frameworks, and technologies used for implementation are not detailed in the available repository information.
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/BorgwardtLab/ADNI_3DCNNvsTDA	BorgwardtLab	sbrueningk	Python	YES - This repository is directly related to biomedical research, specifically focusing on Alzheimer's Disease classification using neuroimaging data from the ADNI (Alzheimer's Disease Neuroimaging Initiative) database. The work involves analysis of brain imaging for medical diagnosis.	This repository contains code for comparing different machine learning approaches to classify Alzheimer's Disease using neuroimaging data. The implementation includes multiple neural network architectures: 3D Convolutional Neural Networks (CNNs) for analyzing hippocampus regions, brain patches, and full brain images, as well as a Topological Data Analysis (TDA) approach using 2D CNNs with persistence images. The repository also includes Graph Neural Networks (GNN) and Logistic Regression (LR) models for combining multiple image patches. The code represents a comprehensive comparison of traditional deep learning approaches with topology-based methods for medical image analysis, aimed at improving Alzheimer's Disease classification.	- Brain imaging data from ADNI database - Patient IDs for data partitioning - Hippocampus images - Full brain images - Brain image patches - Persistence images (from topological analysis) - Patient partition information for data splits	- 3D Convolutional Neural Networks (CNNs) - 2D CNNs - Graph Neural Networks (GNN) - Logistic Regression (LR) - Topological Data Analysis (TDA) tools - Dense neural network models - Data partitioning tools Note: Specific software packages and frameworks are not explicitly mentioned in the repository description, so the tooling section only includes the high-level analytical approaches mentioned.
