Study Name	Abbreviation	PubMed Central Link	Authors	Affiliations	Title	Abstract	Keywords
Alzheimer's Disease Neuroimaging Initiative	ADNI		Zuo Qiankun; Yu Jiaojiao; Ye Conghuan; Chen Ling; Tian Hao; Wu Yixian; Zhang Yudong	Hubei Key Laboratory of Digital Finance Innovation, Hubei University of Economics, Wuhan, Hubei, China.; Hubei Key Laboratory of Digital Finance Innovation, Hubei University of Economics, Wuhan, Hubei, China.; Hubei Key Laboratory of Digital Finance Innovation, Hubei University of Economics, Wuhan, Hubei, China.; Hubei Key Laboratory of Digital Finance Innovation, Hubei University of Economics, Wuhan, Hubei, China.; Hubei Key Laboratory of Digital Finance Innovation, Hubei University of Economics, Wuhan, Hubei, China.; School of Mechanical Engineering, Beijing Institute of Petrochemical Technology, Beijing, China.; School of Computing and Mathematic Sciences, University of Leicester, Leicester, UK.	Spatiotemporal coarse-to-fine diffusion model for automatic brain network generation.	Functional magnetic resonance imaging (fMRI) has emerged as a transformative tool in analyzing and understanding brain diseases. It is a challenge to learn effective features from the high-dimensional fMRI. Most studies have focused on extracting connectivity-based features for disease analysis. However, they heavily rely on the software toolboxes to construct connectivity-based features, which may suffer from large errors because of different manual parameter settings and thus lead to bad performance in brain disorder analysis. A novel brain denoiser model is proposed to transform four-dimensional fMRI (4D fMRI) into a brain network in a unified framework for brain disease analysis. By introducing anatomical knowledge, the proposed model first reduces the 4D fMRI into a 2D coarse region-of-interest(ROI)-based time series and then diffuses it into noisy status by gradually adding Gaussian noise. Moreover, the coarse-to-fine transformer refinement is designed to capture multi-scale temporal dynamics and iteratively remove unrelated multi-frequency noise. Besides, the low-frequency preservation module is devised to enhance the effective signal at low frequencies during the denoising process. This can improve the signal-to-noise ratio at each timestep, which ensures accurate restoration of ROI time series and improves the performance of brain network construction. We evaluate the performance of the Brain Denoiser on the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset and the Autism Brain Imaging Data Exchange (ABIDE) dataset, demonstrating its ability to effectively suppress noise while preserving the underlying neural signals. Comparative analyses with related competing methods demonstrate the superiority of the proposed model. Generally, the proposed model presents a robust and innovative solution for brain network generation, paving the way for efficient analysis of brain disease.	brain imaging; brain network; coarse‐to‐fine diffusion model
Alzheimer's Disease Neuroimaging Initiative	ADNI		Zhang Fan; Wang Yifan; Zhang Xinhong	Radiology Department, Huaihe Hospital of Henan University, Kaifeng, China.; School of Computer and Information Engineering, Henan University, Kaifeng, China.; School of Software, Henan University, Kaifeng, China.	Deep learning-based hippocampus asymmetry assessment for Alzheimer's disease diagnosis.	The symmetry of the brain hippocampus may be disrupted by natural aging and neurodegenerative diseases. Currently, clinical studies on hippocampus asymmetry are limited to subjective visual evaluation and rough volume measurements, lacking quantitative standards. This paper proposes a quantitative assessment method of the hippocampus asymmetry based on deep learning, named DeepHAA (Deep Learning-based Hippocampus Asymmetry Assessment). The DeepHAA model extracts feature representations of left and right hippocampus structures in MRI images and achieved feature fusion through a cross-attention mechanism. A quantitative assessment method is proposed based on the distance between the multimodal embedding of the input sample and the reference embedding space. The experimental dataset of this paper included MRI scans of 199 subjects, including 53 normal cognition (NC), 71 mild cognitive impairment (MCI) and 33 Alzheimer's disease (AD). The experimental results show that DeepHAA model can effectively identify and distinguish the NC, MCI, and AD. The proposed deep learning method integrates asymmetric information about hippocampus structure into the diagnosis of AD and has potential clinical application value.	Alzheimer's disease; asymmetry; deep learning; hippocampus
Alzheimer's Disease Neuroimaging Initiative	ADNI	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC11996510/	Zhang Qiang; Schultz Jordan; Simmering Jacob; Kirkpatrick Braedon Q; Weber Matthew A; Skuodas Sydney; Hicks Tara; Pierce Grace; Laughlin Margaret; Bertolli Aimee X; Larson Travis; Thangavel Ramasamy; Oya Mayu; Meyerholz David; Aldridge Georgina; Fassler Jan; Narayanan Nandakumar S		Glycolysis-enhancing α1-adrenergic antagonists are neuroprotective in Alzheimer's disease.	Terazosin (TZ) is an α	
Alzheimer's Disease Neuroimaging Initiative	ADNI	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC11996541/	Borkowski Kamil; Yin Chunyuan; Kindt Alida; Liang Nuanyi; de Lange Elizabeth; Blach Colette; Newman John W; Kaddurah-Daouk Rima; Hankemeier Thomas		Metabolic Alteration in Oxylipins and Endocannabinoids Point to an Important Role for Soluble Epoxide Hydrolase and Inflammation in Alzheimer's Disease - Finding from Alzheimer's Disease Neuroimaging Initiative.	Mounting evidence implicates inflammation as a key factor in Alzheimer's disease (AD) development. We previously identified pro-inflammatory soluble epoxide hydrolase (sEH) metabolites to be elevated in plasma and CSF of AD patients and to be associated with lower cognition in non-AD subjects. Soluble epoxide hydrolase is a key enzyme converting anti-inflammatory epoxy fatty acids to pro-inflammatory diols, reported to be elevated in multiple cardiometabolic disorders. Here we analyzed over 700 fasting plasma samples from the baseline of Alzheimer's Disease Neuroimaging Initiative (ADNI) 2/GO study. We applied targeted mass spectrometry method to provide absolute quantifications of over 150 metabolites from oxylipin and endocannabinoids pathway, interrogating the role for inflammation/immune dysregulation and the key enzyme soluble epoxide hydrolase in AD. We provide further insights into the regulation of this pathway in different disease stages, APOE genotypes and between sexes. Additionally, we investigated in mild cognitive impaired (MCI) patients, metabolic signatures that inform about resilience to progression and conversion to AD. Key findings include I) confirmed disruption in this key central pathway of inflammation and pointed to dysregulation of sEH in AD with sex and disease stage differences; II) identified markers of disease progression and cognitive resilience using sex and ApoE genotype stratified analysis highlighting an important role for bile acids, lipid peroxidation and stress response hormone cortisol. In conclusion, we provide molecular insights into a central pathway of inflammation and links to cognitive dysfunction, suggesting novel therapeutic approaches that are based on targeting inflammation tailored for subgroups of individuals based on their sex, APOE genotype and their metabolic profile.	
Alzheimer's Disease Neuroimaging Initiative	ADNI		Kumar Sayantan; Earnest Tom; Yang Braden; Kothapalli Deydeep; Aschenbrenner Andrew J; Hassenstab Jason; Xiong Chengie; Ances Beau; Morris John; Benzinger Tammie L S; Gordon Brian A; Payne Philip; Sotiras Aristeidis	Department of Computer Science and Engineering, Washington University in St Louis, Saint Louis, Missouri, USA.; Mallinckrodt Institute of Radiology, Washington University School of Medicine in St Louis, Saint Louis, Missouri, USA.; Mallinckrodt Institute of Radiology, Washington University School of Medicine in St Louis, Saint Louis, Missouri, USA.; Mallinckrodt Institute of Radiology, Washington University School of Medicine in St Louis, Saint Louis, Missouri, USA.; Department of Neurology, Washington University School of Medicine, St louis, Missouri, USA.; Department of Neurology, Washington University School of Medicine, St louis, Missouri, USA.; Institute for Informatics, Data Science & Biostatistics, Washington University School of Medicine in St Louis, Saint Louis, Missouri, USA.; Department of Neurology, Washington University School of Medicine, St louis, Missouri, USA.; Department of Neurology, Washington University School of Medicine, St louis, Missouri, USA.; Mallinckrodt Institute of Radiology, Washington University School of Medicine in St Louis, Saint Louis, Missouri, USA.; Mallinckrodt Institute of Radiology, Washington University School of Medicine in St Louis, Saint Louis, Missouri, USA.; Department of Computer Science and Engineering, Washington University in St Louis, Saint Louis, Missouri, USA.; Institute for Informatics, Data Science & Biostatistics, Washington University School of Medicine in St Louis, Saint Louis, Missouri, USA.	Analyzing heterogeneity in Alzheimer disease using multimodal normative modeling on imaging-based ATN biomarkers.	Previous studies have applied normative modeling on a single neuroimaging modality to investigate Alzheimer disease (AD) heterogeneity. We employed a deep learning-based multimodal normative framework to analyze individual-level variation across ATN (amyloid-tau-neurodegeneration) imaging biomarkers. We selected cross-sectional discovery (n = 665) and replication cohorts (n = 430) with available T1-weighted magnetic resonance imaging (MRI), amyloid, and tau positron emission tomography (PET). Normative modeling estimated individual-level abnormal deviations in amyloid-positive individuals compared to amyloid-negative controls. Regional abnormality patterns were mapped at different clinical group levels to assess intra-group heterogeneity. An individual-level disease severity index (DSI) was calculated using both the spatial extent and magnitude of abnormal deviations across ATN. Greater intra-group heterogeneity in ATN abnormality patterns was observed in more severe clinical stages of AD. Higher DSI was associated with worse cognitive function and increased risk of disease progression. Subject-specific abnormality maps across ATN reveal the heterogeneous impact of AD on the brain. Normative modeling examined AD heterogeneity across multimodal imaging biomarkers. Heterogeneity in spatial patterns of gray matter atrophy, amyloid, and tau burden. Higher within-group heterogeneity for AD patients at advanced dementia stages. Patient-specific metric summarized extent of neurodegeneration and neuropathology. Metric is a marker of poor brain health and can monitor risk of disease progression.	ATN biomarkers; AV1451 tau PET; AV45 amyloid PET; Alzheimer's disease; MRI; abnormal deviations; disease severity index (DSI); heterogeneity; multimodal; normative modeling
Alzheimer's Disease Neuroimaging Initiative	ADNI		Nishimoto Yoshinori; Sasaki Takashi; Abe Yukiko; Hara Norikazu; Miyashita Akinori; Konishi Mika; Eguchi Yoko; Ito Daisuke; Hirose Nobuyoshi; Mimura Masaru; Ikeuchi Takeshi; Okano Hideyuki; Arai Yasumichi	Department of Neurology, Keio University School of Medicine, Shinjuku-ku, Tokyo, Japan.; Center for Supercentenarian Medical Research, Keio University School of Medicine, Shinjuku-ku, Tokyo, Japan.; Center for Supercentenarian Medical Research, Keio University School of Medicine, Shinjuku-ku, Tokyo, Japan.; Department of Molecular Genetics, Brain Research Institute, Niigata University, Chuo-ku, Niigata, Japan.; Department of Molecular Genetics, Brain Research Institute, Niigata University, Chuo-ku, Niigata, Japan.; Department of Neuropsychiatry, Keio University School of Medicine, Shinjuku-ku, Tokyo, Japan.; Department of Neuropsychiatry, Keio University School of Medicine, Shinjuku-ku, Tokyo, Japan.; Department of Physiology, Keio University School of Medicine, Shinjuku-ku, Tokyo, Japan.; Center for Supercentenarian Medical Research, Keio University School of Medicine, Shinjuku-ku, Tokyo, Japan.; Center for Preventive Medicine, Keio University, Minato-ku, Tokyo, Japan.; Department of Molecular Genetics, Brain Research Institute, Niigata University, Chuo-ku, Niigata, Japan.; Center for Supercentenarian Medical Research, Keio University School of Medicine, Shinjuku-ku, Tokyo, Japan.; Center for Supercentenarian Medical Research, Keio University School of Medicine, Shinjuku-ku, Tokyo, Japan.	Distinct patterns of cognitive traits in extreme old age and Alzheimer's disease.	Clinical features of cognitive performance in extreme old age differ from those of pathological cognitive decline in Alzheimer's disease (AD). We compared cognitive traits between 638 centenarians aged 100-115 years and 208 and 221 patients with AD from independent facilities. The presence of the apolipoprotein E (APOE) ε4 allele did not affect Mini-Mental State Examination (MMSE) scores in centenarians. Centenarians retained the ability to follow three consecutive commands, associated with their educational background and activities of daily living. Cognitive retention remained unchanged in semi-supercentenarians (aged ≥ 105 years) and supercentenarians (aged ≥110 years). A quantitative genome-wide association study (GWAS) identified two loci associated with maintaining the ability to follow three consecutive commands. This is the first study to compare cognitive traits between >600 centenarians and patients with AD. Centenarians attained higher MMSE scores for the phenotype of following three consecutive commands than patients with AD, being useful in clinical practice. Cognitive phenotypes in centenarians differ from those in the AD groups Clinical trait to follow consecutive instructions is retained in centenarians but not in AD groups GWAS identified SNPs related to the maintained trait of MMSE in centenarians.	Alzheimer's disease; Mini‐Mental State Examination; centenarians; cognitive aging; quantitative genome‐wide association study
Alzheimer's Disease Neuroimaging Initiative	ADNI		Wang Guoqiao; Li Yan; Xiong Chengjie; Cao Yuchen; Schindler Suzanne E; McDade Eric; Blennow Kaj; Hansson Oskar; Dage Jeffrey L; Jack Clifford R; Teunissen Charlotte E; Shaw Leslie M; Zetterberg Henrik; Ibanez Laura; Timsina Jigyasha; Carlos Cruchaga; Bateman Randall J	Department of Neurology, Washington University, School of Medicine, St. Louis, Missouri, USA.; Department of Neurology, Washington University, School of Medicine, St. Louis, Missouri, USA.; Division of Biostatistics, Washington University, School of Medicine, St. Louis, Missouri, USA.; Department of Neurology, Washington University, School of Medicine, St. Louis, Missouri, USA.; Department of Neurology, Washington University, School of Medicine, St. Louis, Missouri, USA.; Department of Neurology, Washington University, School of Medicine, St. Louis, Missouri, USA.; Institute of Neuroscience and Physiology, University of Gothenburg, Mölndal, Sweden.; Clinical Memory Research Unit, Department of Clinical Sciences Malmö, Faculty of Medicine, Lund University, Lund, Sweden.; Department of Neurology, Indiana University School of Medicine, Indianapolis, Indiana, USA.; Department of Radiology, Mayo Clinic, Rochester, Minnesota, USA.; Neurochemistry Laboratory, Department of Clinical Chemistry, Amsterdam University Medical Centers, Vrije Universiteit, Amsterdam Neuroscience, Amsterdam, Netherlands.; Department of Pathology & Laboratory Medicine, University of Pennsylvania Perelman School of Medicine, Philadelphia, Pennsylvania, USA.; Institute of Neuroscience and Physiology, University of Gothenburg, Mölndal, Sweden.; Department of Neurology, Washington University, School of Medicine, St. Louis, Missouri, USA.; Department of Psychiatry, Washington University, St. Louis, Missouri, USA.; Department of Neurology, Washington University, School of Medicine, St. Louis, Missouri, USA.; Department of Neurology, Washington University, School of Medicine, St. Louis, Missouri, USA.	The CentiMarker project: Standardizing quantitative Alzheimer's disease fluid biomarkers for biologic interpretation.	Biomarkers play a crucial role in understanding Alzheimer's disease (AD) pathogenesis and treatment effects. However, comparing biomarker measures without standardization and appreciating their magnitude relative to the disease can be challenging. To address this issue, we propose the CentiMarker approach, similar to Centiloid, which provides a standardized scale between normal (0) and nearly maximum abnormal AD (100) ranges. We applied this scale to cerebrospinal fluid (CSF) biomarkers in dominantly inherited AD and sporadic AD cohorts. CentiMarkers facilitated the interpretation of disease abnormality, demonstrating comparable changes and distributions of AD biomarkers across disease stages. CentiMarkers make the treatment effect more comparable than their original scales across various biomarkers. The versatility of CentiMarkers makes it a valuable tool for standardized biomarker comparison in AD research, enabling informed cross-study comparisons and contributing to accelerated therapeutic development. Adoption of the CentiMarker scale could enhance biomarker reporting and advance our understanding of AD. Comparing fluid biomarkers without appreciating their magnitude relative to the disease can be challenging. We propose a CentiMarker metric to standardize biomarker measures from normal (0) and nearly maximum abnormal AD (100) ranges. CentiMarkers make the treatment effect more comparable across various biomarkers than when using the original scales.	Alzheimer's disease; CentiMarker; biomarker standardization; fluid biomarker
Alzheimer's Disease Neuroimaging Initiative	ADNI	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC11997130/	Bao Jingxuan; Wen Junhao; Chang Changgee; Mu Shizhuo; Chen Jiong; Shivakumar Manu; Cui Yuhan; Erus Guray; Yang Zhijian; Yang Shu; Wen Zixuan; Zhao Yize; Kim Dokyoon; Duong-Tran Duy; Saykin Andrew J; Zhao Bingxin; Davatzikos Christos; Long Qi; Shen Li	Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.; Laboratory of AI and Biomedical Science (LABS), Columbia University, New York, NY, USA.; Department of Biostatistics and Health Data Science, Indiana University School of Medicine, Indianapolis, IN, USA.; Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.; Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.; Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.; Center for Biomedical Image Computing and Analytics (CBICA), University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.; Center for Biomedical Image Computing and Analytics (CBICA), University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.; Center for Biomedical Image Computing and Analytics (CBICA), University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.; Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.; Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.; Department of Biostatistics, Yale University School of Public Health, New Haven, CT, USA.; Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.; Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.; Department of Radiology and Imaging Sciences, Indiana University, Indianapolis, IN, USA.; Department of Statistics and Data Science, University of Pennsylvania, Philadelphia, PA, USA.; Center for AI and Data Science for Integrated Diagnostics (AI2D), Department of Radiology, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.; Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA. qlong@pennmedicine.upenn.edu.; Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA. li.shen@pennmedicine.upenn.edu.	A genetically informed brain atlas for enhancing brain imaging genomics.	Brain imaging genomics has manifested considerable potential in illuminating the genetic determinants of human brain structure and function. This has propelled us to develop the GIANT (Genetically Informed brAiN aTlas) that accounts for genetic and neuroanatomical variations simultaneously. Integrating voxel-wise heritability and spatial proximity, GIANT clusters brain voxels into genetically informed regions, while retaining fundamental anatomical knowledge. Compared to conventional (non-genetics) brain atlases, GIANT exhibits smaller intra-region variations and larger inter-region variations in terms of voxel-wise heritability. As a result, GIANT yields increased regional SNP heritability, enhanced polygenicity, and its polygenic risk score explains more brain volumetric variation than traditional neuroanatomical brain atlases. We provide extensive validation to GIANT and demonstrate its neuroanatomical validity, confirming its generalizability across populations with diverse genetic ancestries and various brain conditions. Furthermore, we present a comprehensive genetic architecture of the GIANT regions, covering their functional annotation at the molecular levels, their associations with other complex traits/diseases, and the genetic and phenotypic correlations among GIANT-defined imaging endophenotypes. In summary, GIANT constitutes a brain atlas that captures the complexity of genetic and neuroanatomical heterogeneity, thereby enhancing the discovery power and applicability of imaging genomics investigations in biomedical science.	
Alzheimer's Disease Neuroimaging Initiative	ADNI	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC11996220/	Jemimah Sherlyn; Abuhantash Ferial; AlShehhi Aamna	Department of Biomedical Engineering and Biotechnology, Khalifa University, Abu Dhabi, United Arab Emirates.; Department of Biomedical Engineering and Biotechnology, Khalifa University, Abu Dhabi, United Arab Emirates.; Department of Biomedical Engineering and Biotechnology, Khalifa University, Abu Dhabi, United Arab Emirates.	c-Triadem: A constrained, explainable deep learning model to identify novel biomarkers in Alzheimer's disease.	Alzheimer's disease (AD) is a neurodegenerative disorder that requires early diagnosis for effective management. However, issues with currently available diagnostic biomarkers preclude early diagnosis, necessitating the development of alternative biomarkers and methods, such as blood-based diagnostics. We propose c-Triadem (constrained triple-input Alzheimer's disease model), a novel deep neural network to identify potential blood-based biomarkers for AD and predict mild cognitive impairment (MCI) and AD with high accuracy. The model utilizes genotyping data, gene expression data, and clinical information to predict the disease status of participants, i.e., cognitively normal (CN), MCI, or AD. The nodes of the neural network represent genes and their related pathways, and the edges represent known relationships among the genes and pathways. Simulated data validation further highlights the robustness of key features identified by SHapley Additive exPlanations (SHAP). We trained the model with blood genotyping data, microarray, and clinical features from the Alzheimer's Neuroimaging Disease Initiative (ADNI). We demonstrate that our model's performance is superior to previous models with an AUC of 97% and accuracy of 89%. We then identified the most influential genes and clinical features for prediction using SHapley Additive exPlanations (SHAP). Our SHAP analysis shows that CASP9, LCK, and SDC3 SNPs and PINK1, ATG5, and ubiquitin (UBB, UBC) expression have a higher impact on model performance. Our model has facilitated the identification of potential blood-based genetic markers of DNA damage response and mitophagy in affected regions of the brain. The model can be used for detection and biomarker identification in other related dementias.	
Alzheimer's Disease Neuroimaging Initiative	ADNI		Malik Rubina; Martinez Miguel Restrepo; So Isis; Finger Elizabeth	Department of Clinical Neurological Sciences, Schulich School of Medicine & Dentistry, Western University, London, ON, Canada.; Department of Clinical Neurological Sciences, Schulich School of Medicine & Dentistry, Western University, London, ON, Canada.; Department of Clinical Neurological Sciences, Schulich School of Medicine & Dentistry, Western University, London, ON, Canada.; Department of Clinical Neurological Sciences, Schulich School of Medicine & Dentistry, Western University, London, ON, Canada.	Conversion to Mild Cognitive Impairment and Alzheimer's Disease Dementia Related to Apathy,	ObjectiveApathy and	APOE; Alzheimer’s disease; antidepressant; apathy
